Packet Type	Timestamp	GSR		PPG
0x00		15590075,	 109,	 813
0x00		15590730,	 109,	 806
0x00		15591385,	 310,	 802
0x00		15592040,	 310,	 808
0x00		15592695,	 310,	1005
0x00		15593350,	 310,	1029
0x00		15594005,	 310,	1056
0x00		15594660,	 303,	1074
0x00		15595315,	 303,	1088
0x00		15595970,	 303,	1310
0x00		15596625,	 303,	1539
0x00		15597280,	 303,	1687
0x00		15597935,	 302,	1765
0x00		15598590,	 302,	1805
0x00		15599245,	 302,	1825
0x00		15599900,	 302,	1838
0x00		15600555,	 302,	1846
0x00		15601210,	 302,	1849
0x00		15601865,	 302,	1849
0x00		15602520,	 302,	1780
0x00		15603175,	 302,	1822
0x00		15603830,	 302,	1840
0x00		15604485,	 302,	1848
0x00		15605140,	 302,	1852
0x00		15605795,	 302,	1858
0x00		15606450,	 302,	1861
0x00		15607105,	 302,	1863
0x00		15607760,	 301,	1864
0x00		15608415,	 302,	1867
0x00		15609070,	 301,	1866
0x00		15609725,	 301,	1734
0x00		15610380,	 301,	1805
0x00		15611035,	 301,	1698
0x00		15611690,	 301,	1648
0x00		15612345,	 301,	1624
0x00		15613000,	 301,	1619
0x00		15613655,	 301,	1613
0x00		15614310,	 301,	1609
0x00		15614965,	 301,	1605
0x00		15615620,	 301,	1602
0x00		15616275,	 301,	1607
0x00		15616930,	 301,	1607
0x00		15617585,	 301,	1608
0x00		15618240,	 301,	1610
0x00		15618895,	 301,	1610
0x00		15619550,	 301,	1613
0x00		15620205,	 301,	1612
0x00		15620860,	 301,	1611
0x00		15621515,	 301,	1611
0x00		15622170,	 301,	1610
0x00		15622825,	 301,	1614
0x00		15623480,	 301,	1612
0x00		15624135,	 301,	1611
0x00		15624790,	 301,	1610
0x00		15625445,	 301,	1610
0x00		15626100,	 301,	1614
0x00		15626755,	 301,	1612
0x00		15627410,	 301,	1611
0x00		15628065,	 301,	1610
0x00		15628720,	 301,	1609
0x00		15629375,	 301,	1612
0x00		15630030,	 301,	1610
0x00		15630685,	 301,	1610
0x00		15631340,	 301,	1612
0x00		15631995,	 301,	1613
0x00		15632650,	 301,	1614
0x00		15633305,	 301,	1611
0x00		15633960,	 301,	1610
0x00		15634615,	 301,	1610
0x00		15635270,	 301,	1612
0x00		15635925,	 301,	1610
0x00		15636580,	 301,	1612
0x00		15637235,	 301,	1610
0x00		15637890,	 301,	1612
0x00		15638545,	 301,	1613
0x00		15639200,	 301,	1611
0x00		15639855,	 301,	1610
0x00		15640510,	 300,	1614
0x00		15641165,	 300,	1615
0x00		15641820,	 300,	1616
0x00		15642475,	 301,	1616
0x00		15643130,	 300,	1616
0x00		15643785,	 301,	1616
0x00		15644440,	 300,	1616
0x00		15645095,	 300,	1617
0x00		15645750,	 300,	1617
0x00		15646405,	 300,	1618
0x00		15647060,	 300,	1618
0x00		15647715,	 300,	1618
0x00		15648370,	 300,	1621
0x00		15649025,	 300,	1623
0x00		15649680,	 300,	1624
0x00		15650335,	 300,	1621
0x00		15650990,	 300,	1623
0x00		15651645,	 300,	1624
0x00		15652300,	 300,	1628
0x00		15652955,	 300,	1627
0x00		15653610,	 300,	1627
0x00		15654265,	 300,	1627
0x00		15654920,	 300,	1627
0x00		15655575,	 300,	1630
0x00		15656230,	 300,	1631
0x00		15656885,	 300,	1632
0x00		15657540,	 300,	1632
0x00		15658195,	 300,	1629
0x00		15658850,	 300,	1628
0x00		15659505,	 299,	1631
0x00		15660160,	 299,	1636
0x00		15660815,	 299,	1636
0x00		15661470,	 299,	1639
0x00		15662125,	 299,	1641
0x00		15662780,	 299,	1641
0x00		15663435,	 299,	1642
0x00		15664090,	 299,	1642
0x00		15664745,	 299,	1642
0x00		15665400,	 299,	1643
0x00		15666055,	 299,	1643
0x00		15666710,	 299,	1643
0x00		15667365,	 299,	1643
0x00		15668020,	 299,	1646
0x00		15668675,	 299,	1645
0x00		15669330,	 299,	1646
0x00		15669985,	 299,	1644
0x00		15670640,	 299,	1646
0x00		15671295,	 298,	1645
0x00		15671950,	 299,	1649
0x00		15672605,	 299,	1650
0x00		15673260,	 298,	1652
0x00		15673915,	 298,	1652
0x00		15674570,	 298,	1655
0x00		15675225,	 298,	1657
0x00		15675880,	 298,	1657
0x00		15676535,	 298,	1657
0x00		15677190,	 298,	1654
0x00		15677845,	 298,	1656
0x00		15678500,	 298,	1657
0x00		15679155,	 298,	1658
0x00		15679810,	 298,	1660
0x00		15680465,	 298,	1664
0x00		15681120,	 297,	1665
0x00		15681775,	 298,	1665
0x00		15682430,	 298,	1663
0x00		15683085,	 297,	1663
0x00		15683740,	 297,	1663
