X,Y,Z,timestamp
-0.456,0.37,0.786,11420.86668796977
-0.456,0.37,0.786,11420.870681335975
-0.456,0.37,0.786,11420.874674702178
-0.454,0.37,0.786,11420.878668068382
-0.454,0.37,0.786,11420.882661434587
-0.454,0.37,0.786,11420.88665480079
-0.454,0.37,0.786,11420.890648166995
-0.454,0.37,0.786,11420.8946415332
-0.454,0.37,0.786,11420.898634899404
-0.454,0.37,0.786,11420.902628265607
-0.454,0.37,0.786,11420.906621631812
-0.454,0.37,0.786,11420.910614998016
-0.454,0.37,0.786,11420.914608364219
-0.452,0.37,0.782,11420.918601730424
-0.452,0.37,0.782,11420.922595096628
-0.452,0.37,0.782,11420.926588462831
-0.452,0.37,0.782,11420.930581829036
-0.452,0.37,0.782,11420.93457519524
-0.452,0.37,0.782,11420.938568561443
-0.452,0.37,0.782,11420.942561927648
-0.452,0.37,0.782,11420.946555293853
-0.452,0.37,0.782,11420.950548660056
-0.452,0.37,0.782,11420.95454202626
-0.456,0.372,0.782,11420.958535392465
-0.456,0.372,0.782,11420.96252875867
-0.456,0.372,0.782,11420.966522124872
-0.456,0.372,0.782,11420.970515491077
-0.456,0.372,0.782,11420.974508857282
-0.456,0.372,0.782,11420.978502223485
-0.456,0.372,0.782,11420.98249558969
-0.456,0.372,0.782,11420.986488955894
-0.456,0.372,0.782,11420.990482322097
-0.456,0.372,0.782,11420.994475688301
-0.45,0.366,0.786,11420.998469054506
-0.45,0.366,0.786,11421.002462420709
-0.45,0.366,0.786,11421.006455786914
-0.45,0.366,0.786,11421.010449153118
-0.45,0.366,0.786,11421.014442519321
-0.45,0.366,0.786,11421.018435885526
-0.45,0.366,0.786,11421.02242925173
-0.45,0.366,0.786,11421.026422617935
-0.45,0.366,0.786,11421.030415984138
-0.45,0.366,0.786,11421.034409350343
-0.45,0.366,0.786,11421.038402716547
-0.45,0.374,0.782,11421.04239608275
-0.45,0.374,0.782,11421.046389448955
-0.45,0.374,0.782,11421.05038281516
