X,Y,Z,timestamp
-0.352,0.314,0.848,11321.101193823954
-0.352,0.314,0.848,11321.105696196417
-0.352,0.314,0.848,11321.11019856888
-0.352,0.314,0.848,11321.114700941343
-0.352,0.314,0.848,11321.119203313807
-0.352,0.314,0.848,11321.12370568627
-0.364,0.322,0.85,11321.128208058733
-0.364,0.322,0.85,11321.132710431197
-0.364,0.322,0.85,11321.13721280366
-0.364,0.322,0.85,11321.141715176123
-0.364,0.322,0.85,11321.146217548587
-0.364,0.322,0.85,11321.150719921052
-0.364,0.322,0.85,11321.155222293515
-0.364,0.322,0.85,11321.159724665979
-0.364,0.322,0.85,11321.164227038442
-0.364,0.322,0.85,11321.168729410905
-0.362,0.318,0.848,11321.173231783368
-0.362,0.318,0.848,11321.177734155832
-0.362,0.318,0.848,11321.182236528295
-0.362,0.318,0.848,11321.186738900758
-0.362,0.318,0.848,11321.191241273222
-0.362,0.318,0.848,11321.195743645685
-0.362,0.318,0.848,11321.200246018148
-0.362,0.318,0.848,11321.204748390612
-0.362,0.318,0.848,11321.209250763075
-0.362,0.318,0.848,11321.213753135538
-0.356,0.316,0.852,11321.218255508002
-0.356,0.316,0.852,11321.222757880465
-0.356,0.316,0.852,11321.227260252928
-0.356,0.316,0.852,11321.231762625392
-0.356,0.316,0.852,11321.236264997855
-0.356,0.316,0.852,11321.24076737032
-0.356,0.316,0.852,11321.245269742783
-0.356,0.316,0.852,11321.249772115247
-0.356,0.316,0.852,11321.25427448771
-0.356,0.316,0.852,11321.258776860173
-0.356,0.316,0.852,11321.263279232637
-0.356,0.314,0.848,11321.2677816051
-0.356,0.314,0.848,11321.272283977563
-0.356,0.314,0.848,11321.276786350027
-0.356,0.314,0.848,11321.28128872249
-0.356,0.314,0.848,11321.285791094953
-0.356,0.314,0.848,11321.290293467417
-0.356,0.314,0.848,11321.29479583988
-0.356,0.314,0.848,11321.299298212343
-0.356,0.314,0.848,11321.303800584807
-0.356,0.314,0.848,11321.30830295727
-0.364,0.32,0.854,11321.312805329733
-0.364,0.32,0.854,11321.317307702197
-0.364,0.32,0.854,11321.32181007466
-0.364,0.32,0.854,11321.326312447123
-0.364,0.32,0.854,11321.330814819588
-0.364,0.32,0.854,11321.335317192052
-0.364,0.32,0.854,11321.339819564515
-0.364,0.32,0.854,11321.344321936978
-0.364,0.32,0.854,11321.348824309442
-0.364,0.32,0.854,11321.353326681905
-0.364,0.316,0.856,11321.357829054368
-0.364,0.316,0.856,11321.362331426832
-0.364,0.316,0.856,11321.366833799295
-0.364,0.316,0.856,11321.371336171758
-0.364,0.316,0.856,11321.375838544222
-0.364,0.316,0.856,11321.380340916685
-0.364,0.316,0.856,11321.384843289148
-0.364,0.316,0.856,11321.389345661612
-0.364,0.316,0.856,11321.393848034075
-0.364,0.316,0.856,11321.398350406538
-0.364,0.316,0.858,11321.402852779001
-0.364,0.316,0.858,11321.407355151465
-0.364,0.316,0.858,11321.411857523928
-0.364,0.316,0.858,11321.416359896391
-0.364,0.316,0.858,11321.420862268857
-0.364,0.316,0.858,11321.42536464132
-0.364,0.316,0.858,11321.429867013783
-0.364,0.316,0.858,11321.434369386247
-0.364,0.316,0.858,11321.43887175871
-0.364,0.316,0.858,11321.443374131173
-0.364,0.314,0.856,11321.447876503637
-0.364,0.314,0.856,11321.4523788761
-0.364,0.314,0.856,11321.456881248563
-0.364,0.314,0.856,11321.461383621026
-0.364,0.314,0.856,11321.46588599349
-0.364,0.314,0.856,11321.470388365953
-0.364,0.314,0.856,11321.474890738416
-0.364,0.314,0.856,11321.47939311088
-0.364,0.314,0.856,11321.483895483343
-0.364,0.314,0.856,11321.488397855806
-0.358,0.322,0.858,11321.49290022827
-0.358,0.322,0.858,11321.497402600733
-0.358,0.322,0.858,11321.501904973196
-0.358,0.322,0.858,11321.50640734566
-0.358,0.322,0.858,11321.510909718123
-0.358,0.322,0.858,11321.515412090588
-0.358,0.322,0.858,11321.519914463051
-0.358,0.322,0.858,11321.524416835515
-0.358,0.322,0.858,11321.528919207978
-0.358,0.322,0.858,11321.533421580441
-0.356,0.318,0.856,11321.537923952905
-0.356,0.318,0.856,11321.542426325368
-0.356,0.318,0.856,11321.546928697831
-0.356,0.318,0.856,11321.551431070295
-0.356,0.318,0.856,11321.555933442758
-0.356,0.318,0.856,11321.560435815221
-0.356,0.318,0.856,11321.564938187685
-0.356,0.318,0.856,11321.569440560148
-0.356,0.318,0.856,11321.573942932611
-0.356,0.318,0.856,11321.578445305075
-0.356,0.318,0.856,11321.582947677538
-0.356,0.32,0.852,11321.587450050001
-0.356,0.32,0.852,11321.591952422465
-0.356,0.32,0.852,11321.596454794928
-0.356,0.32,0.852,11321.600957167391
-0.356,0.32,0.852,11321.605459539856
-0.356,0.32,0.852,11321.60996191232
-0.356,0.32,0.852,11321.614464284783
-0.356,0.32,0.852,11321.618966657246
-0.356,0.32,0.852,11321.62346902971
-0.356,0.32,0.852,11321.627971402173
-0.356,0.328,0.852,11321.632473774636
-0.356,0.328,0.852,11321.6369761471
-0.356,0.328,0.852,11321.641478519563
-0.356,0.328,0.852,11321.645980892026
-0.356,0.328,0.852,11321.65048326449
-0.356,0.328,0.852,11321.654985636953
-0.356,0.328,0.852,11321.659488009416
-0.356,0.328,0.852,11321.66399038188
-0.356,0.328,0.852,11321.668492754343
-0.356,0.328,0.852,11321.672995126806
-0.362,0.32,0.856,11321.67749749927
-0.362,0.32,0.856,11321.681999871733
-0.362,0.32,0.856,11321.686502244196
-0.362,0.32,0.856,11321.69100461666
-0.362,0.32,0.856,11321.695506989125
-0.362,0.32,0.856,11321.700009361588
-0.362,0.32,0.856,11321.704511734051
-0.362,0.32,0.856,11321.709014106515
-0.362,0.32,0.856,11321.713516478978
-0.362,0.32,0.856,11321.718018851441
-0.358,0.314,0.858,11321.722521223905
-0.358,0.314,0.858,11321.727023596368
-0.358,0.314,0.858,11321.731525968831
-0.358,0.314,0.858,11321.736028341295
-0.358,0.314,0.858,11321.740530713758
-0.358,0.314,0.858,11321.745033086221
-0.358,0.314,0.858,11321.749535458684
-0.358,0.314,0.858,11321.754037831148
-0.358,0.314,0.858,11321.758540203611
-0.358,0.314,0.858,11321.763042576074
-0.354,0.314,0.858,11321.767544948538
-0.354,0.314,0.858,11321.772047321001
-0.354,0.314,0.858,11321.776549693464
-0.354,0.314,0.858,11321.781052065928
-0.354,0.314,0.858,11321.785554438391
-0.354,0.314,0.858,11321.790056810856
-0.354,0.314,0.858,11321.79455918332
-0.354,0.314,0.858,11321.799061555783
-0.354,0.314,0.858,11321.803563928246
-0.354,0.314,0.858,11321.80806630071
-0.36,0.32,0.858,11321.812568673173
-0.36,0.32,0.858,11321.817071045636
-0.36,0.32,0.858,11321.8215734181
-0.36,0.32,0.858,11321.826075790563
-0.36,0.32,0.858,11321.830578163026
-0.36,0.32,0.858,11321.83508053549
-0.36,0.32,0.858,11321.839582907953
-0.36,0.32,0.858,11321.844085280416
-0.36,0.32,0.858,11321.84858765288
-0.36,0.32,0.858,11321.853090025343
-0.358,0.314,0.854,11321.857592397806
-0.358,0.314,0.854,11321.86209477027
-0.358,0.314,0.854,11321.866597142733
-0.358,0.314,0.854,11321.871099515196
-0.358,0.314,0.854,11321.87560188766
-0.358,0.314,0.854,11321.880104260124
-0.358,0.314,0.854,11321.884606632588
-0.358,0.314,0.854,11321.889109005051
-0.358,0.314,0.854,11321.893611377514
-0.358,0.314,0.854,11321.898113749978
-0.358,0.314,0.854,11321.902616122441
-0.36,0.312,0.852,11321.907118494904
-0.36,0.312,0.852,11321.911620867368
-0.36,0.312,0.852,11321.916123239831
-0.36,0.312,0.852,11321.920625612294
-0.36,0.312,0.852,11321.925127984758
-0.36,0.312,0.852,11321.929630357221
-0.36,0.312,0.852,11321.934132729684
-0.36,0.312,0.852,11321.938635102148
-0.36,0.312,0.852,11321.943137474611
-0.36,0.312,0.852,11321.947639847074
-0.36,0.314,0.852,11321.952142219538
-0.36,0.314,0.852,11321.956644592
-0.36,0.314,0.852,11321.961146964464
-0.36,0.314,0.852,11321.965649336928
-0.36,0.314,0.852,11321.970151709393
-0.36,0.314,0.852,11321.974654081856
-0.36,0.314,0.852,11321.97915645432
-0.36,0.314,0.852,11321.983658826783
-0.36,0.314,0.852,11321.988161199246
-0.36,0.314,0.852,11321.99266357171
-0.362,0.312,0.856,11321.997165944173
-0.362,0.312,0.856,11322.001668316636
-0.362,0.312,0.856,11322.0061706891
-0.362,0.312,0.856,11322.010673061563
-0.362,0.312,0.856,11322.015175434026
-0.362,0.312,0.856,11322.01967780649
-0.362,0.312,0.856,11322.024180178953
-0.362,0.312,0.856,11322.028682551416
-0.362,0.312,0.856,11322.03318492388
-0.362,0.312,0.856,11322.037687296342
-0.364,0.312,0.86,11322.042189668806
-0.364,0.312,0.86,11322.04669204127
-0.364,0.312,0.86,11322.051194413732
-0.364,0.312,0.86,11322.055696786196
-0.364,0.312,0.86,11322.06019915866
-0.364,0.312,0.86,11322.064701531124
-0.364,0.312,0.86,11322.069203903588
-0.364,0.312,0.86,11322.07370627605
-0.364,0.312,0.86,11322.078208648514
-0.364,0.312,0.86,11322.082711020978
-0.368,0.306,0.854,11322.08721339344
-0.368,0.306,0.854,11322.091715765904
-0.368,0.306,0.854,11322.096218138367
-0.368,0.306,0.854,11322.10072051083
-0.368,0.306,0.854,11322.105222883294
-0.368,0.306,0.854,11322.109725255757
-0.368,0.306,0.854,11322.11422762822
-0.368,0.306,0.854,11322.118730000684
-0.368,0.306,0.854,11322.123232373147
-0.368,0.306,0.854,11322.12773474561
-0.368,0.308,0.856,11322.132237118074
-0.368,0.308,0.856,11322.136739490537
-0.368,0.308,0.856,11322.141241863
-0.368,0.308,0.856,11322.145744235464
-0.368,0.308,0.856,11322.150246607927
-0.368,0.308,0.856,11322.154748980392
-0.368,0.308,0.856,11322.159251352856
-0.368,0.308,0.856,11322.16375372532
-0.368,0.308,0.856,11322.168256097782
-0.368,0.308,0.856,11322.172758470246
-0.362,0.308,0.856,11322.177260842709
-0.362,0.308,0.856,11322.181763215172
-0.362,0.308,0.856,11322.186265587636
-0.362,0.308,0.856,11322.190767960099
-0.362,0.308,0.856,11322.195270332562
-0.362,0.308,0.856,11322.199772705026
-0.362,0.308,0.856,11322.204275077489
-0.362,0.308,0.856,11322.208777449952
-0.362,0.308,0.856,11322.213279822416
-0.362,0.308,0.856,11322.217782194879
-0.362,0.308,0.856,11322.222284567342
-0.356,0.312,0.86,11322.226786939806
-0.356,0.312,0.86,11322.231289312269
-0.356,0.312,0.86,11322.235791684732
-0.356,0.312,0.86,11322.240294057196
-0.356,0.312,0.86,11322.24479642966
-0.356,0.312,0.86,11322.249298802124
-0.356,0.312,0.86,11322.253801174587
-0.356,0.312,0.86,11322.25830354705
-0.356,0.312,0.86,11322.262805919514
-0.356,0.312,0.86,11322.267308291977
-0.354,0.306,0.848,11322.27181066444
-0.354,0.306,0.848,11322.276313036904
-0.354,0.306,0.848,11322.280815409367
-0.354,0.306,0.848,11322.28531778183
-0.354,0.306,0.848,11322.289820154294
-0.354,0.306,0.848,11322.294322526757
-0.354,0.306,0.848,11322.29882489922
-0.354,0.306,0.848,11322.303327271684
-0.354,0.306,0.848,11322.307829644147
-0.354,0.306,0.848,11322.31233201661
-0.356,0.31,0.85,11322.316834389074
-0.356,0.31,0.85,11322.321336761537
-0.356,0.31,0.85,11322.325839134
-0.356,0.31,0.85,11322.330341506464
-0.356,0.31,0.85,11322.334843878929
-0.356,0.31,0.85,11322.339346251392
-0.356,0.31,0.85,11322.343848623856
-0.356,0.31,0.85,11322.348350996319
-0.356,0.31,0.85,11322.352853368782
-0.356,0.31,0.85,11322.357355741246
-0.356,0.314,0.852,11322.361858113709
-0.356,0.314,0.852,11322.366360486172
-0.356,0.314,0.852,11322.370862858636
-0.356,0.314,0.852,11322.375365231099
-0.356,0.314,0.852,11322.379867603562
-0.356,0.314,0.852,11322.384369976025
-0.356,0.314,0.852,11322.388872348489
-0.356,0.314,0.852,11322.393374720952
-0.356,0.314,0.852,11322.397877093415
-0.356,0.314,0.852,11322.402379465879
-0.36,0.316,0.858,11322.406881838342
-0.36,0.316,0.858,11322.411384210805
-0.36,0.316,0.858,11322.415886583269
-0.36,0.316,0.858,11322.420388955732
-0.36,0.316,0.858,11322.424891328197
-0.36,0.316,0.858,11322.42939370066
-0.36,0.316,0.858,11322.433896073124
-0.36,0.316,0.858,11322.438398445587
-0.36,0.316,0.858,11322.44290081805
-0.36,0.316,0.858,11322.447403190514
-0.364,0.316,0.86,11322.451905562977
-0.364,0.316,0.86,11322.45640793544
-0.364,0.316,0.86,11322.460910307904
-0.364,0.316,0.86,11322.465412680367
-0.364,0.316,0.86,11322.46991505283
-0.364,0.316,0.86,11322.474417425294
-0.364,0.316,0.86,11322.478919797757
-0.364,0.316,0.86,11322.48342217022
-0.364,0.316,0.86,11322.487924542684
-0.364,0.316,0.86,11322.492426915147
-0.36,0.314,0.854,11322.49692928761
-0.36,0.314,0.854,11322.501431660074
-0.36,0.314,0.854,11322.505934032537
-0.36,0.314,0.854,11322.510436405
-0.36,0.314,0.854,11322.514938777464
-0.36,0.314,0.854,11322.519441149929
-0.36,0.314,0.854,11322.523943522392
-0.36,0.314,0.854,11322.528445894855
-0.36,0.314,0.854,11322.532948267319
-0.36,0.314,0.854,11322.537450639782
-0.358,0.318,0.862,11322.541953012245
-0.358,0.318,0.862,11322.546455384709
-0.358,0.318,0.862,11322.550957757172
-0.358,0.318,0.862,11322.555460129635
-0.358,0.318,0.862,11322.559962502099
-0.358,0.318,0.862,11322.564464874562
-0.358,0.318,0.862,11322.568967247025
-0.358,0.318,0.862,11322.573469619489
-0.358,0.318,0.862,11322.577971991952
-0.358,0.318,0.862,11322.582474364415
-0.358,0.318,0.862,11322.586976736879
-0.35,0.314,0.856,11322.591479109342
-0.35,0.314,0.856,11322.595981481805
-0.35,0.314,0.856,11322.600483854269
-0.35,0.314,0.856,11322.604986226732
-0.35,0.314,0.856,11322.609488599197
-0.35,0.314,0.856,11322.61399097166
-0.35,0.314,0.856,11322.618493344124
-0.35,0.314,0.856,11322.622995716587
-0.35,0.314,0.856,11322.62749808905
-0.35,0.314,0.856,11322.632000461514
-0.35,0.312,0.856,11322.636502833977
-0.35,0.312,0.856,11322.64100520644
-0.35,0.312,0.856,11322.645507578904
-0.35,0.312,0.856,11322.650009951367
-0.35,0.312,0.856,11322.65451232383
-0.35,0.312,0.856,11322.659014696294
-0.35,0.312,0.856,11322.663517068757
-0.35,0.312,0.856,11322.66801944122
-0.35,0.312,0.856,11322.672521813683
-0.35,0.312,0.856,11322.677024186147
-0.352,0.304,0.846,11322.68152655861
-0.352,0.304,0.846,11322.686028931073
-0.352,0.304,0.846,11322.690531303537
-0.352,0.304,0.846,11322.695033676
-0.352,0.304,0.846,11322.699536048465
-0.352,0.304,0.846,11322.704038420929
-0.352,0.304,0.846,11322.708540793392
-0.352,0.304,0.846,11322.713043165855
-0.352,0.304,0.846,11322.717545538319
-0.352,0.304,0.846,11322.722047910782
-0.36,0.31,0.858,11322.726550283245
-0.36,0.31,0.858,11322.731052655708
-0.36,0.31,0.858,11322.735555028172
-0.36,0.31,0.858,11322.740057400635
-0.36,0.31,0.858,11322.744559773098
-0.36,0.31,0.858,11322.749062145562
-0.36,0.31,0.858,11322.753564518025
-0.36,0.31,0.858,11322.758066890488
-0.36,0.31,0.858,11322.762569262952
-0.36,0.31,0.858,11322.767071635415
-0.364,0.308,0.858,11322.771574007878
-0.364,0.308,0.858,11322.776076380342
-0.364,0.308,0.858,11322.780578752805
-0.364,0.308,0.858,11322.785081125268
-0.364,0.308,0.858,11322.789583497732
-0.364,0.308,0.858,11322.794085870197
-0.364,0.308,0.858,11322.79858824266
-0.364,0.308,0.858,11322.803090615123
-0.364,0.308,0.858,11322.807592987587
-0.364,0.308,0.858,11322.81209536005
-0.358,0.31,0.86,11322.816597732513
-0.358,0.31,0.86,11322.821100104977
-0.358,0.31,0.86,11322.82560247744
-0.358,0.31,0.86,11322.830104849903
-0.358,0.31,0.86,11322.834607222367
-0.358,0.31,0.86,11322.83910959483
-0.358,0.31,0.86,11322.843611967293
-0.358,0.31,0.86,11322.848114339757
-0.358,0.31,0.86,11322.85261671222
-0.358,0.31,0.86,11322.857119084683
-0.354,0.314,0.858,11322.861621457147
-0.354,0.314,0.858,11322.86612382961
-0.354,0.314,0.858,11322.870626202073
-0.354,0.314,0.858,11322.875128574537
-0.354,0.314,0.858,11322.879630947
-0.354,0.314,0.858,11322.884133319465
-0.354,0.314,0.858,11322.888635691928
-0.354,0.314,0.858,11322.893138064392
-0.354,0.314,0.858,11322.897640436855
-0.354,0.314,0.858,11322.902142809318
-0.354,0.314,0.858,11322.906645181782
-0.356,0.31,0.858,11322.911147554245
-0.356,0.31,0.858,11322.915649926708
-0.356,0.31,0.858,11322.920152299172
-0.356,0.31,0.858,11322.924654671635
-0.356,0.31,0.858,11322.929157044098
-0.356,0.31,0.858,11322.933659416562
-0.356,0.31,0.858,11322.938161789025
-0.356,0.31,0.858,11322.942664161488
-0.356,0.31,0.858,11322.947166533952
-0.356,0.31,0.858,11322.951668906415
-0.36,0.306,0.856,11322.956171278878
-0.36,0.306,0.856,11322.960673651341
-0.36,0.306,0.856,11322.965176023805
-0.36,0.306,0.856,11322.969678396268
-0.36,0.306,0.856,11322.974180768733
-0.36,0.306,0.856,11322.978683141197
-0.36,0.306,0.856,11322.98318551366
-0.36,0.306,0.856,11322.987687886123
-0.36,0.306,0.856,11322.992190258587
-0.36,0.306,0.856,11322.99669263105
-0.36,0.312,0.848,11323.001195003513
-0.36,0.312,0.848,11323.005697375977
-0.36,0.312,0.848,11323.01019974844
-0.36,0.312,0.848,11323.014702120903
-0.36,0.312,0.848,11323.019204493366
-0.36,0.312,0.848,11323.02370686583
-0.36,0.312,0.848,11323.028209238293
-0.36,0.312,0.848,11323.032711610756
-0.36,0.312,0.848,11323.03721398322
-0.36,0.312,0.848,11323.041716355683
-0.36,0.308,0.854,11323.046218728146
-0.36,0.308,0.854,11323.05072110061
-0.36,0.308,0.854,11323.055223473073
-0.36,0.308,0.854,11323.059725845536
-0.36,0.308,0.854,11323.064228218002
-0.36,0.308,0.854,11323.068730590465
-0.36,0.308,0.854,11323.073232962928
-0.36,0.308,0.854,11323.077735335391
