AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
44260.992,43767.152,31511.332,-32184.098,57007.88,45069.074,44429.523,45531.754,11420.866426823259
44312.29,43827.03,30798.334,-33415.992,56970.418,45050.453,44449.19,45533.117,11420.87042019158
44321.363,43824.395,31144.16,-33210.312,56958.21,45051.863,44457.574,45537.098,11420.874413559903
44272.95,43759.664,32156.248,-31596.314,56995.363,45074.594,44445.33,45541.656,11420.878406928225
44237.12,43725.555,32374.29,-30864.787,57029.695,45085.883,44429.008,45539.957,11420.882400296547
44264.008,43769.812,31520.05,-32173.324,57016.19,45071.04,44433.055,45536.426,11420.886393664869
44313.875,43827.902,30807.432,-33399.676,56977.01,45050.566,44449.93,45535.668,11420.89038703319
44323.31,43825.715,31145.814,-33197.06,56965.03,45052.02,44457.71,45539.355,11420.894380401513
44274.984,43761.297,32157.299,-31582.88,57002.492,45074.684,44444.68,45543.312,11420.898373769835
44238.33,43726.137,32382.225,-30840.512,57036.29,45085.21,44426.55,45540.07,11420.902367138155
44264.97,43769.61,31530.89,-32137.605,57023.08,45070.08,44430.105,45535.51,11420.906360506477
44315.395,43828.777,30808.215,-33368.83,56984.902,45050.277,44448.523,45535.22,11420.910353874799
44326.258,43828.17,31140.406,-33176.918,56973.41,45052.2,44457.688,45539.62,11420.91434724312
44276.816,43762.504,32156.113,-31563.367,57009.44,45073.613,44443.96,45542.105,11420.918340611443
44238.37,43725.555,32397.736,-30797.73,57042.95,45083.51,44425.055,45537.723,11420.922333979765
44262.824,43767.53,31551.633,-32089.46,57029.023,45067.332,44427.043,45531.754,11420.926327348086
44316.336,43829.914,30826.81,-33336.688,56993.953,45050.523,44448.59,45533.92,11420.930320716408
44327.242,43829.402,31152.074,-33149.023,56982.22,45052.4,44457.953,45537.945,11420.93431408473
44278.27,43764.0,32171.96,-31527.158,57019.5,45075.086,44445.46,45542.105,11420.938307453052
44236.473,43723.387,32412.756,-30767.244,57050.996,45082.707,44424.316,45535.645,11420.942300821374
44262.062,43766.28,31564.307,-32051.352,57039.305,45068.785,44428.25,45532.203,11420.946294189696
44314.883,43828.15,30827.615,-33314.516,57003.566,45051.28,44448.277,45534.1,11420.950287558018
44326.28,43828.26,31139.78,-33144.15,56991.25,45052.58,44457.598,45538.24,11420.95428092634
44276.19,43761.72,32151.777,-31534.512,57026.14,45073.21,44443.72,45540.652,11420.958274294662
44235.266,43722.07,32402.006,-30763.846,57058.906,45082.418,44423.62,45535.6,11420.962267662984
44261.016,43765.297,31560.082,-32038.7,57048.426,45069.477,44428.316,45532.984,11420.966261031304
44311.82,43825.49,30821.312,-33299.137,57011.32,45050.367,44446.62,45533.52,11420.970254399626
44323.465,43825.98,31126.346,-33130.54,56998.938,45051.707,44455.562,45537.41,11420.974247767948
44274.918,43760.914,32136.936,-31521.012,57034.855,45073.5,44442.195,45540.496,11420.97824113627
44235.062,43721.91,32400.262,-30732.91,57069.1,45083.87,44422.887,45536.81,11420.982234504592
44256.61,43760.67,31569.0,-31991.27,57055.49,45067.176,44423.4,45530.01,11420.986227872914
44308.38,43821.69,30826.52,-33272.246,57018.695,45048.355,44442.04,45530.125,11420.990221241236
44322.48,43824.82,31118.344,-33119.117,57007.207,45050.992,44452.055,45535.11,11420.994214609558
44275.52,43761.496,32129.38,-31515.223,57043.934,45073.723,44439.516,45538.863,11420.99820797788
44234.684,43721.598,32399.95,-30746.098,57077.973,45083.83,44419.777,45534.48,11421.002201346202
44258.31,43762.613,31573.783,-32007.184,57066.754,45069.812,44422.617,45530.37,11421.006194714524
44310.145,43823.95,30828.6,-33290.754,57029.85,45050.7,44441.234,45530.414,11421.010188082846
44323.98,43826.742,31117.74,-33143.637,57017.355,45052.2,44451.34,45534.594,11421.014181451168
44276.258,43762.21,32137.473,-31535.494,57052.918,45073.633,44438.465,45537.344,11421.01817481949
44234.66,43721.465,32417.941,-30721.445,57086.42,45082.64,44417.676,45531.26,11421.022168187812
44256.812,43761.16,31592.96,-31960.111,57074.13,45067.02,44418.93,45525.184,11421.026161556134
44311.438,43825.42,30842.836,-33238.633,57040.223,45050.633,44440.746,45528.492,11421.030154924454
44328.023,43830.92,31129.453,-33090.508,57029.984,45054.21,44453.664,45535.4,11421.034148292776
44280.258,43766.527,32150.012,-31477.873,57065.812,45076.004,44441.883,45538.93,11421.038141661098
44237.613,43724.55,32446.664,-30677.479,57100.01,45085.434,44421.992,45533.766,11421.04213502942
44258.42,43762.613,31622.867,-31904.924,57088.277,45069.7,44422.973,45527.91,11421.046128397742
44309.25,43823.41,30863.938,-33190.797,57051.086,45049.63,44440.79,45527.574,11421.050121766064
44322.816,43826.16,31131.979,-33054.676,57037.383,45049.785,44450.223,45531.086,11421.054115134386
44275.094,43761.61,32149.05,-31445.283,57072.43,45070.883,44437.01,45533.59,11421.058108502708
44232.246,43719.184,32459.137,-30628.17,57106.9,45080.875,44415.8,45528.066,11421.06210187103
44254.105,43758.234,31651.367,-31840.64,57097.17,45067.31,44417.945,45523.754,11421.066095239352
44304.42,43818.113,30886.938,-33167.688,57059.668,45047.215,44435.336,45522.95,11421.070088607674
44317.945,43821.086,31145.234,-33043.746,57045.316,45047.24,44444.5,45526.01,11421.074081975996
44271.52,43757.92,32157.656,-31436.521,57081.082,45069.79,44432.652,45529.855,11421.078075344318
44230.637,43717.13,32465.193,-30609.127,57117.582,45082.13,44413.34,45526.816,11421.08206871264
44252.363,43755.773,31651.992,-31811.695,57108.105,45068.85,44415.242,45522.523,11421.086062080962
44303.797,43817.062,30886.379,-33128.637,57071.715,45049.67,44433.504,45522.547,11421.090055449284
44318.883,43821.957,31134.951,-33007.2,57058.215,45050.367,44443.895,45526.457,11421.094048817604
44273.285,43759.55,32155.176,-31388.152,57094.582,45073.32,44433.39,45531.195,11421.098042185926
44230.703,43716.816,32478.336,-30548.934,57130.68,45084.52,44413.25,45526.926,11421.102035554248
44249.324,43752.29,31671.371,-31732.75,57119.168,45068.293,44412.223,45519.35,11421.10602892257
44300.688,43813.688,30896.168,-33081.164,57083.004,45048.934,44430.04,45519.17,11421.110022290892
44314.188,43816.883,31138.686,-32951.188,57067.895,45047.594,44438.016,45521.473,11421.114015659214
44265.55,43751.24,32148.805,-31322.885,57101.62,45067.332,44424.27,45523.26,11421.118009027536
