AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
70979.62,65635.32,39732.594,-57740.39,-58454.73,72237.17,65639.61,72653.875,11321.100982455611
70630.69,65642.94,38735.684,-59099.195,-59302.777,72222.6,65117.582,72648.18,11321.105484832107
70575.74,65762.586,37973.176,-60342.133,-60304.45,72204.36,64775.555,72648.47,11321.109987208602
70914.664,65856.35,38427.074,-59883.027,-60090.7,72202.57,65061.145,72650.73,11321.114489585098
71145.94,65772.6,39576.758,-58203.496,-58850.957,72219.734,65621.21,72651.77,11321.118991961594
70985.14,65643.586,39738.695,-57760.574,-58449.117,72224.586,65640.28,72644.35,11321.12349433809
70631.13,65640.77,38737.273,-59109.277,-59291.957,72209.14,65115.234,72636.93,11321.127996714584
70578.56,65763.234,37958.133,-60343.496,-60304.47,72192.984,64761.184,72638.836,11321.13249909108
70917.1,65861.984,38401.035,-59892.93,-60102.746,72192.2,65053.633,72641.9,11321.137001467576
71149.31,65776.71,39557.96,-58215.61,-58857.754,72208.945,65626.76,72642.41,11321.14150384407
70984.29,65642.695,39732.574,-57770.79,-58452.426,72214.33,65646.65,72634.99,11321.146006220566
70617.72,65627.2,38726.098,-59131.117,-59302.574,72199.8,65115.84,72628.77,11321.150508597062
70581.84,65763.33,37948.277,-60359.03,-60318.664,72184.31,64777.434,72632.04,11321.155010973556
70910.59,65852.555,38388.027,-59930.3,-60131.87,72183.77,65052.184,72636.04,11321.159513350052
71144.305,65768.11,39549.938,-58256.312,-58880.26,72199.58,65618.11,72636.15,11321.164015726548
70990.34,65638.31,39738.496,-57785.81,-58446.1,72206.91,65645.266,72631.01,11321.168518103044
70636.41,65636.3,38739.17,-59137.664,-59283.465,72191.305,65129.473,72623.7,11321.173020479539
70581.42,65756.51,37951.94,-60376.58,-60306.996,72172.76,64785.055,72624.016,11321.177522856035
70903.84,65839.164,38374.1,-59960.855,-60131.2,72172.06,65041.945,72627.59,11321.18202523253
71158.66,65774.66,39534.87,-58286.668,-58883.168,72189.12,65614.734,72629.266,11321.186527609025
71005.88,65642.695,39730.316,-57808.137,-58446.84,72194.08,65649.625,72622.41,11321.19102998552
70651.83,65636.37,38732.062,-59162.81,-59285.566,72179.664,65116.645,72616.234,11321.195532362017
70596.82,65762.03,37936.88,-60412.293,-60313.3,72162.02,64754.21,72617.375,11321.200034738513
