AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
42953.95,42101.164,-37760.32,-39828.105,-39152.3,53550.555,52682.727,52387.305,10396.447166623717
42932.875,42122.71,-38137.15,-40084.926,-39406.215,53550.668,52681.363,52386.32,10396.451189990681
42990.72,42194.082,-38517.152,-40645.707,-40049.117,53542.664,52684.38,52386.098,10396.455213357645
43060.703,42232.055,-38591.54,-40805.59,-40288.887,53538.24,52687.867,52386.992,10396.45923672461
43033.457,42173.36,-38134.176,-40199.656,-39646.16,53548.23,52690.19,52391.594,10396.463260091574
42962.8,42111.29,-37790.363,-39721.22,-39158.445,53553.17,52685.92,52391.707,10396.467283458538
42945.926,42133.574,-38164.844,-39978.31,-39405.277,53553.73,52685.633,52391.594,10396.471306825502
43003.66,42205.367,-38543.594,-40538.957,-40048.492,53546.105,52689.41,52391.953,10396.475330192467
43065.508,42237.824,-38611.61,-40702.28,-40294.184,53542.13,52693.7,52393.36,10396.47935355943
43036.227,42173.004,-38135.85,-40096.3,-39656.754,53553.016,52697.68,52399.484,10396.483376926395
42968.57,42120.945,-37800.734,-39615.336,-39169.176,53557.754,52694.17,52400.0,10396.48740029336
42951.47,42145.957,-38167.01,-39866.15,-39414.46,53556.32,52692.293,52398.324,10396.491423660324
43005.785,42203.312,-38546.23,-40426.816,-40059.668,53547.96,52695.38,52397.875,10396.495447027288
43067.41,42234.137,-38626.34,-40601.586,-40316.758,53542.91,52699.355,52398.39,10396.499470394252
43039.312,42173.85,-38165.47,-39988.812,-39687.51,53552.5,52702.24,52402.906,10396.503493761216
42973.53,42130.043,-37779.566,-39484.336,-39165.574,53557.863,52699.49,52404.402,10396.50751712818
42952.477,42152.195,-38089.07,-40236.695,-39377.56,53555.63,52695.6,52401.16,10396.511540495145
43002.676,42202.35,-38474.28,-41040.082,-40014.54,53544.52,52694.484,52397.137,10396.515563862109
43065.664,42232.84,-38558.926,-41228.17,-40285.086,53540.14,52698.863,52398.39,10396.519587229073
43043.625,42176.56,-38125.953,-40639.99,-39666.098,53550.332,52703.535,52404.246,10396.523610596038
42975.656,42140.215,-37762.6,-40144.09,-39165.91,53554.42,52699.51,52404.27,10396.527633963002
42952.074,42172.58,-38125.66,-40369.418,-39388.668,53552.613,52696.227,52401.52,10396.531657329966
43003.46,42201.547,-38513.71,-40926.535,-40028.71,53544.477,52699.266,52400.96,10396.53568069693
43066.984,42234.715,-38599.383,-41114.246,-40302.164,53539.65,52703.47,52402.414,10396.539704063895
43044.297,42178.59,-38149.53,-40530.062,-39684.67,53550.062,52707.223,52408.113,10396.543727430859
42972.816,42140.37,-37799.504,-40034.457,-39164.703,53552.5,52701.188,52406.414,10396.547750797823
42948.855,42181.92,-38156.37,-40263.984,-39387.33,53552.7,52700.027,52405.32,10396.551774164787
43000.508,42202.15,-38536.465,-40820.88,-40029.227,53546.688,52705.035,52406.75,10396.555797531752
43064.48,42231.88,-38636.31,-41011.965,-40307.39,53541.77,52708.92,52407.754,10396.559820898716
43040.473,42174.32,-38191.844,-40424.227,-39690.82,53549.48,52710.195,52410.953,10396.56384426568
42971.562,42216.926,-37818.145,-39915.297,-39174.562,53553.348,52705.637,52410.527,10396.567867632644
42945.992,42321.664,-38149.4,-40114.543,-39367.57,53552.79,52702.777,52408.312,10396.571890999609
42995.348,42222.47,-38518.023,-40654.402,-39989.24,53542.844,52702.375,52404.535,10396.575914366573
43061.06,42228.367,-38614.895,-40848.125,-40270.47,53537.77,52706.22,52405.32,10396.579937733537
43036.45,42178.098,-38181.07,-40276.03,-39672.65,53545.348,52708.008,52408.47,10396.583961100501
42964.367,42251.883,-37808.29,-39762.613,-39170.605,53549.57,52704.027,52408.36,10396.587984467466
42933.92,42320.21,-38137.285,-39951.04,-39354.09,53549.06,52701.258,52406.594,10396.59200783443
42981.848,42210.688,-38512.613,-40491.215,-39973.258,53540.72,52701.86,52404.87,10396.596031201394
43046.53,42216.656,-38614.65,-40702.46,-40270.38,53538.465,52707.78,52408.246,10396.60005456836
43024.695,42187.645,-38176.71,-40126.926,-39680.473,53548.59,52711.09,52413.277,10396.604077935324
42960.457,42303.09,-37754.176,-39535.297,-39192.645,53555.184,52707.246,52413.523,10396.608101302289
42938.527,42292.203,-38025.324,-40130.547,-39364.35,53550.266,52700.34,52407.332,10396.612124669253
42986.496,42199.56,-38451.06,-40969.61,-39980.453,53538.867,52698.844,52402.793,10396.616148036217
43046.91,42218.824,-38540.8,-41192.523,-40286.227,53533.074,52701.324,52402.95,10396.620171403181
43020.156,42173.45,-38130.555,-40627.67,-39696.99,53542.26,52703.38,52407.04,10396.624194770146
42948.79,42270.973,-37729.5,-40093.44,-39173.867,53548.207,52700.227,52407.645,10396.62821813711
42918.97,42342.652,-38064.195,-40262.688,-39340.098,53543.56,52693.188,52401.14,10396.632241504074
42966.223,42216.812,-38461.184,-40795.49,-39951.977,53535.824,52694.1,52399.395,10396.636264871038
43029.656,42202.598,-38558.703,-41006.98,-40255.67,53532.562,52699.176,52401.52,10396.640288238003
43009.85,42190.438,-38130.758,-40434.484,-39668.02,53541.39,52701.457,52404.895,10396.644311604967
