Routine,Problem ID,Stimuli,Idea generation/Reaction time,Additional info/Feedback question,Total/Feedback answer,timestamp
Instructions,,,,,,273014.91354963486
One-back instructions,,,,,,273044.6293631416
Problem statement,1,Near,,,,273106.9905146458
Crosshair,1,Near,,,,273113.8320841244
Wordset 1,1,Near,,,,273117.00645981444
Idea generated,1,Near,22.849793133267667,,,273139.87636284257
Idea generated,1,Near,33.14962203329196,,,273150.1761176103
Idea generated,1,Near,42.01558433327591,,,273159.04204778245
Idea generated,1,Near,56.51323643326759,,,273173.53973393695
Wordset 1,1,Near,,Total ideas generated,4,273176.9651644262
One-back initialize,1,Near,,,,273176.96519982617
One-back reaction time,1,Near,0.5084813666762784,,,273187.4758818932
One-back reaction time,1,Near,0.5066792666330002,,,273188.2248895908
One-back reaction time,1,Near,0.42313626664690673,,,273188.88944638876
One-back reaction time,1,Near,0.44067266664933413,,,273189.5712503866
One-back reaction time,1,Near,0.42615496669895947,,,273190.2394185845
One-back reaction time,1,Near,0.5900304666720331,,,273197.1179115629
One-back reaction time,1,Near,0.43990376661531627,,,273197.8005992608
One-back reaction time,1,Near,0.39038816664833575,,,273198.4329265588
One-back reaction time,1,Near,0.40778556664008647,,,273199.0833036567
One-back reaction time,1,Near,0.5560679666814394,,,273205.9102447353
Wordset 2,1,Near,,,,273206.7305693327
Idea generated,1,Near,18.131866300012916,,,273224.88069887576
Idea generated,1,Near,29.91286039998522,,,273236.6616931388
Idea generated,1,Near,37.06939769996097,,,273243.81825611636
Wordset 2,1,Near,,Total ideas generated,3,273266.74543594435
Feedback,1,Near,,,,273266.81702114415
Feedback answer,1,Near,,useful,3,273274.60298431973
Feedback,1,Near,,,,273274.6293670196
Feedback answer,1,Near,,relevant,2,273280.3639790016
Feedback,1,Near,,,,273280.4171240014
Feedback answer,1,Near,,novelty,3,273288.0066903776
Feedback,1,Near,,,,273288.03934527753
Feedback answer,1,Near,,quality,2,273293.4194219606
One-back initialize,1,Near,,,,273293.4214943606
One-back reaction time,1,Near,0.6360932667157613,,,273302.04791893356
One-back reaction time,1,Near,0.4413757666479796,,,273306.7603514187
One-back reaction time,1,Near,0.5044476666371338,,,273311.53811620374
One-back reaction time,1,Near,0.4722698666737415,,,273314.2526812952
Problem statement,2,Cntrl,,,,273323.24507236696
Crosshair,2,Cntrl,,,,273330.1900452452
Wordset 1,2,Cntrl,,,,273331.1225809423
Idea generated,2,Cntrl,8.827564299979713,,,273339.9528750145
Idea generated,2,Cntrl,16.847941099957097,,,273347.97322278935
Idea generated,2,Cntrl,20.694856099958997,,,273351.82023157727
Idea generated,2,Cntrl,27.592672099999618,,,273358.7179644556
Idea generated,2,Cntrl,30.693849699979182,,,273361.8191312459
Idea generated,2,Cntrl,34.75684389995877,,,273365.88216163317
Idea generated,2,Cntrl,41.788243799994234,,,273372.9135442111
Idea generated,2,Cntrl,50.95007219997933,,,273382.07539568236
Idea generated,2,Cntrl,55.84646099997917,,,273386.971820267
Wordset 1,2,Cntrl,,Total ideas generated,9,273391.109588154
One-back initialize,2,Cntrl,,,,273391.109607854
One-back reaction time,2,Cntrl,0.7068445666809566,,,273403.79776121414
One-back reaction time,2,Cntrl,0.4426251666736789,,,273406.49461990566
One-back reaction time,2,Cntrl,0.5408949666307308,,,273407.27838990325
One-back reaction time,2,Cntrl,0.5567173666204326,,,273412.10810328805
One-back reaction time,2,Cntrl,0.5543045667000115,,,273412.90515458555
One-back reaction time,2,Cntrl,0.6732263666926883,,,273415.8186447764
One-back reaction time,2,Cntrl,0.5415373666910455,,,273416.60295077396
One-back reaction time,2,Cntrl,0.5572130666696467,,,273419.4184848651
Wordset 2,2,Cntrl,,,,273420.8544950606
Idea generated,2,Cntrl,10.860580233333167,,,273431.7415335264
Idea generated,2,Cntrl,21.472668333386537,,,273442.3536055931
Idea generated,2,Cntrl,25.55257593333954,,,273446.4335101803
Idea generated,2,Cntrl,40.006283133348916,,,273460.8872492349
Idea generated,2,Cntrl,51.17852003336884,,,273472.0594331999
Wordset 2,2,Cntrl,,Total ideas generated,5,273480.8723290722
Feedback,2,Cntrl,,,,273480.9083818721
Feedback answer,2,Cntrl,,useful,1,273483.84570576285
Feedback,2,Cntrl,,,,273483.8677531628
Feedback answer,2,Cntrl,,relevant,2,273488.22562224907
Feedback,2,Cntrl,,,,273488.255750549
Feedback answer,2,Cntrl,,novelty,2,273491.3423910393
Feedback,2,Cntrl,,,,273491.3688598393
Feedback answer,2,Cntrl,,quality,3,273496.95367662166
One-back initialize,2,Cntrl,,,,273496.95591712167
One-back reaction time,2,Cntrl,0.5921606667106971,,,273507.5608386884
One-back reaction time,2,Cntrl,0.6567168667097576,,,273518.4865560541
One-back reaction time,2,Cntrl,0.5720211666775867,,,273523.298116339
One-back reaction time,2,Cntrl,0.5416787666617893,,,273526.0783529303
Problem statement,3,Far,,,,273526.7396189282
Crosshair,3,Far,,,,273533.7396489063
Wordset 1,3,Far,,,,273535.0556385021
Idea generated,3,Far,3.8492240332998335,,,273538.91184889
Idea generated,3,Far,10.842918633308727,,,273545.90548096807
Idea generated,3,Far,18.915658933285158,,,273553.9782099427
Idea generated,3,Far,58.45738383330172,,,273593.5199782186
Wordset 1,3,Far,,Total ideas generated,4,273595.0786067137
One-back initialize,3,Far,,,,273595.0786682137
One-back reaction time,3,Far,0.5552383666508831,,,273613.6232296555
One-back reaction time,3,Far,0.47579216671874747,,,273614.34032345325
One-back reaction time,3,Far,0.5572353666648269,,,273617.13892314443
One-back reaction time,3,Far,0.4732942666159943,,,273617.8547330422
Wordset 2,3,Far,,,,273624.8381971203
Idea generated,3,Far,3.481351399968844,,,273628.33130510926
Idea generated,3,Far,9.69488809996983,,,273634.5448327898
Idea generated,3,Far,22.94332179997582,,,273647.79327224824
Idea generated,3,Far,28.497341099951882,,,273653.34726993076
Idea generated,3,Far,43.6834780999925,,,273668.5334124831
Idea generated,3,Far,50.915424299950246,,,273675.7653298604
Idea generated,3,Far,58.60513779998291,,,273683.45508173626
