Routine,Problem ID,Stimuli,Idea generation/Reaction time,timestamp
Instructions,,,,2081.6700867647755
One-back instructions,,,,2100.0492468540356
Problem statement,1,Near,,2139.7111399150604
Crosshair,1,Near,,2146.4601084743954
Wordset 1,1,Near,,2149.041414458842
Idea generated,1,Near,35.364848200000324,2184.4344299455884
Idea generated,1,Near,39.52468470000031,2188.594264820524
Idea generated,1,Near,42.713550300000406,2191.78309950131
Idea generated,1,Near,54.37198500000068,2203.4415407310644
One-back initialize,1,Near,,2208.9993922975764
One-back reaction time,1,Near,0.5804118999999446,2217.5705967459326
One-back reaction time,1,Near,0.5065059999997175,2222.34909581714
One-back reaction time,1,Near,0.5401872000002186,2233.1901668518194
Wordset 2,1,Near,,2238.7585775182683
Idea generated,1,Near,21.2024578999999,2259.98705459036
Idea generated,1,Near,25.093815300000188,2263.878431566913
Idea generated,1,Near,30.88108030000012,2269.665704632043
Idea generated,1,Near,45.675813800000014,2284.4604129429
Idea generated,1,Near,56.62086480000016,2295.4054822769526
Feedback,1,Near,,2298.890597455954
Feedback,1,Near,,2312.3494978748595
Feedback,1,Near,,2323.0950220101145
Feedback,1,Near,,2330.4803827656156
One-back initialize,1,Near,,2336.0916523318056
One-back reaction time,1,Near,0.6745130999997855,2346.7808483674
One-back reaction time,1,Near,0.6380043999993177,2349.6780246499434
One-back reaction time,1,Near,0.5901622999999745,2354.540762920644
One-back reaction time,1,Near,0.9062719999997171,2355.6901113137187
One-back reaction time,1,Near,0.7401144000000386,2362.68378497158
One-back reaction time,1,Near,1.1905870000000505,2364.11608536295
Problem statement,2,Cntrl,,2365.9484611519088
Crosshair,2,Cntrl,,2372.8740535101797
Wordset 1,2,Cntrl,,2376.41245778886
Idea generated,2,Cntrl,6.1149562000000515,2382.537508051955
Idea generated,2,Cntrl,13.234489000000394,2389.657035809057
Idea generated,2,Cntrl,18.460772100000213,2394.8833105775675
Idea generated,2,Cntrl,22.669197300000178,2399.0917547522104
Idea generated,2,Cntrl,29.583516100000452,2406.0060551105494
Idea generated,2,Cntrl,30.809494500000255,2407.2320378031627
One-back initialize,2,Cntrl,,2436.3976768274306
One-back reaction time,2,Cntrl,0.5530363999996553,2444.950483075897
One-back reaction time,2,Cntrl,0.8719505999997637,2446.065835869176
One-back reaction time,2,Cntrl,0.6902162999999746,2455.0584397149933
One-back reaction time,2,Cntrl,0.8726295000001301,2456.174449708269
Wordset 2,2,Cntrl,,2466.170791548038
Idea generated,2,Cntrl,10.597459300000082,2476.795144984023
Feedback,2,Cntrl,,2526.2230919862036
Feedback,2,Cntrl,,2531.927856351831
Feedback,2,Cntrl,,2534.267959137731
Feedback,2,Cntrl,,2540.9583084974192
One-back initialize,2,Cntrl,,2543.4380153824786
One-back reaction time,2,Cntrl,0.5728632999998808,2564.0852573580723
One-back reaction time,2,Cntrl,0.5724587999998221,2570.946942016729
Problem statement,3,Far,,2573.22043660303
Crosshair,3,Far,,2580.220528660852
Wordset 1,3,Far,,2583.6389836402545
Idea generated,3,Far,8.289203799999996,2591.940407090236
Idea generated,3,Far,13.138759900000423,2596.7899483610163
Idea generated,3,Far,16.82476160000033,2600.475944338807
Idea generated,3,Far,26.331173900000067,2609.982362281528
Idea generated,3,Far,30.616611300000386,2614.2677983557064
Idea generated,3,Far,51.55142980000028,2635.202640529568
One-back initialize,3,Far,,2643.642072778717
One-back reaction time,3,Far,0.7237497000000985,2656.359800802089
One-back reaction time,3,Far,0.7066525999998703,2657.308844596371
One-back reaction time,3,Far,0.7398314000001847,2658.2912166904516
One-back reaction time,3,Far,0.7072657999997318,2659.2405680847314
One-back reaction time,3,Far,0.6400307999997494,2662.1222309673685
One-back reaction time,3,Far,0.589063299999907,2662.9547046623525
Wordset 2,3,Far,,2673.4173015993124
Idea generated,3,Far,7.067117600000529,2680.5126773565603
Feedback,3,Far,,2733.4981053373067
Feedback,3,Far,,2736.9263798166503
Feedback,3,Far,,2740.6877892939865
Feedback,3,Far,,2745.4792185651163
One-back initialize,3,Far,,2749.8365023388624
One-back reaction time,3,Far,0.6399571000001743,2764.5046613504824
One-back reaction time,3,Far,0.5561216999999488,2765.3040686456657
One-back reaction time,3,Far,0.5742319000000862,2768.1350763286077
One-back reaction time,3,Far,0.6399206999994931,2775.0621010868704
One-back reaction time,3,Far,0.6740048999999999,2775.9785369813485
One-back reaction time,3,Far,0.5405598000002101,2778.7760813644923
Experiment finished,,,697.9496024999999,2779.610832159463
