Routine,Problem ID,Stimuli,Idea generation/Reaction time,timestamp
Initalize PsychoPy,,,,3462.0577320225643
Calibration,,,,3464.1631961178573
Instructions,,,,3468.9289827072016
One-back instructions,,,,3480.4737020813895
Problem statement,1,Near,,3482.004905577966
Crosshair,1,Near,,3488.8584327626427
Wordset 1,1,Near,,3491.1235659575777
Idea generated,1,Near,23.325088233333645,3514.45611890541
Idea generated,1,Near,30.20749293333347,3521.338550390022
Idea generated,1,Near,39.111972033333586,3530.2429895701134
One-back initialize,1,Near,,3551.0852739235133
One-back reaction time,1,Near,0.7024836666673764,3559.78604410406
One-back reaction time,1,Near,0.624229066666885,3562.667951597616
One-back reaction time,1,Near,0.7386424666665334,3569.692114481911
One-back reaction time,1,Near,0.5396698666668271,3572.473973775692
One-back reaction time,1,Near,0.5083074666667926,3575.241076569505
One-back reaction time,1,Near,0.7233195666667598,3576.206056167347
One-back reaction time,1,Near,0.807042966667268,3579.270241960496
One-back reaction time,1,Near,0.7883956666669292,3580.301307158191
Wordset 2,1,Near,,3580.842351256981
Idea generated,1,Near,0.3041630000002442,3581.163546356263
Idea generated,1,Near,14.698327300000074,3595.5576366240803
Idea generated,1,Near,27.739283800000067,3608.5986334949225
Idea generated,1,Near,59.83964600000036,3640.6989983231515
Feedback,1,Near,,3640.9134804226715
Feedback,1,Near,,3666.4386999656012
Feedback,1,Near,,3680.1332268349825
Feedback,1,Near,,3687.7953261178513
One-back initialize,1,Near,,3696.5767971982173
One-back reaction time,1,Near,0.6374045666666461,3709.2446604698944
One-back reaction time,1,Near,0.6402131666673085,3710.127081067921
One-back reaction time,1,Near,0.5932889666669325,3710.962418566053
Problem statement,2,Cntrl,,3726.4127956315087
Crosshair,2,Cntrl,,3733.3565410159836
Wordset 1,2,Cntrl,,3735.486408111222
Idea generated,2,Cntrl,12.099592600000506,3747.5898928841602
Idea generated,2,Cntrl,22.28368670000009,3757.7739337613903
Idea generated,2,Cntrl,43.06695480000053,3778.5571994149223
One-back initialize,2,Cntrl,,3795.48690817707
One-back reaction time,2,Cntrl,0.6062930666666944,3806.0810778533832
One-back reaction time,2,Cntrl,0.654984866666382,3808.9795372469025
One-back reaction time,2,Cntrl,0.6425648666668167,3819.888459922512
Wordset 2,2,Cntrl,,3825.23835681055
Idea generated,2,Cntrl,32.32840783333313,3857.5864885382252
Feedback,2,Cntrl,,3885.2859498762937
Feedback,2,Cntrl,,3892.9876681590736
Feedback,2,Cntrl,,3904.4180098335173
Feedback,2,Cntrl,,3909.572847421992
One-back initialize,2,Cntrl,,3915.313291909157
One-back reaction time,2,Cntrl,0.7244367666667131,3926.0352669851845
One-back reaction time,2,Cntrl,0.5551619666662191,3928.847924178896
Problem statement,3,Far,,3945.092311642576
Crosshair,3,Far,,3952.0948693269193
Wordset 1,3,Far,,3952.597717625795
Idea generated,3,Far,5.357861833333118,3957.969023813786
Idea generated,3,Far,15.798290433333023,3968.409452190442
Idea generated,3,Far,34.41188413333339,3987.0230617488255
Idea generated,3,Far,57.72738543333344,4010.338573896696
One-back initialize,3,Far,,4012.6029547916332
One-back reaction time,3,Far,0.6423906666664152,4029.250903554411
One-back reaction time,3,Far,0.6244616666667753,4034.128036143506
One-back reaction time,3,Far,0.5573012666663999,4036.9276533372467
One-back reaction time,3,Far,0.6555349666668917,4037.8253821352396
Wordset 2,3,Far,,4042.3770548250627
Idea generated,3,Far,10.889534033333348,4053.287739300668
Idea generated,3,Far,20.163210433333006,4062.561402279934
Idea generated,3,Far,28.46604013333308,4070.8643167613695
Feedback,3,Far,,4102.426050990803
Feedback,3,Far,,4107.957888378434
Feedback,3,Far,,4119.0206647537
Feedback,3,Far,,4123.846775442909
One-back initialize,3,Far,,4128.471514532569
One-back reaction time,3,Far,0.5910655666666571,4137.061630113363
One-back reaction time,3,Far,0.5048517666664338,4139.8064098072255
One-back reaction time,3,Far,0.6047770666664292,4146.651533291922
Experiment finished,,,689.3312222333329,4158.246134465998
