Routine,Problem ID,Stimuli,Idea generation/Reaction time,timestamp
Calibration,,,,10399.696325106734
Instructions,,,,10424.21409792839
One-back instructions,,,,10460.266656413189
Problem statement,1,Near,,10472.501541674095
Crosshair,1,Near,,10479.330418452275
Wordset 1,1,Near,,10482.903174740859
Idea generated,1,Near,4.898571333333166,10487.82541222513
Idea generated,1,Near,6.841998133333618,10489.76885181892
Idea generated,1,Near,8.75395803333413,10491.68077981281
Idea generated,1,Near,10.83438873333398,10493.761227906163
Idea generated,1,Near,12.909106333334421,10495.835909099533
Idea generated,1,Near,15.001465733334044,10497.928319192848
Idea generated,1,Near,17.22243243333469,10500.14923248575
Idea generated,1,Near,23.06817083333408,10505.995005467072
Idea generated,1,Near,38.54229003333421,10521.469142917626
Idea generated,1,Near,58.29133503333469,10541.218169954522
One-back initialize,1,Near,,10542.866227349255
One-back reaction time,1,Near,0.5886925666654861,10559.481936496162
One-back reaction time,1,Near,0.5591153666664468,10562.296559587168
One-back reaction time,1,Near,0.48938096666643105,10565.042532878395
One-back reaction time,1,Near,0.7252295666676218,10572.040498156031
Wordset 2,1,Near,,10572.612207754206
Idea generated,1,Near,13.77278159999878,10586.413380810107
Idea generated,1,Near,15.48735839999972,10588.127984104627
Idea generated,1,Near,50.727347299998655,10623.367994892023
Feedback,1,Near,,10632.702563262197
Feedback,1,Near,,10640.428888537508
Feedback,1,Near,,10645.828552120254
Feedback,1,Near,,10651.649774301653
One-back initialize,1,Near,,10655.057008490765
One-back reaction time,1,Near,0.5579435666659265,10665.595423657092
One-back reaction time,1,Near,0.79121106666571,10666.628592153791
One-back reaction time,1,Near,0.7226638666670624,10667.593252050709
One-back reaction time,1,Near,0.50616006666678,10670.341222741927
One-back reaction time,1,Near,0.5242236666672397,10671.107260239482
One-back reaction time,1,Near,0.5251929666646902,10671.873900037031
One-back reaction time,1,Near,0.522891566668477,10672.638792834587
One-back reaction time,1,Near,0.5916573666672775,10673.471873731925
One-back reaction time,1,Near,0.5228379666659748,10674.235942029483
One-back reaction time,1,Near,0.5567506666684494,10677.05316112048
One-back reaction time,1,Near,0.7562268666661112,10680.067718010849
One-back reaction time,1,Near,0.7875684666669258,10681.097666907557
One-back reaction time,1,Near,0.6097791666670673,10681.949468804836
Problem statement,2,Cntrl,,10684.875296895487
Crosshair,2,Cntrl,,10691.819241473298
Wordset 1,2,Cntrl,,10692.440550171312
Idea generated,2,Cntrl,5.723981400000412,10698.169842853005
Idea generated,2,Cntrl,10.786430500000279,10703.232318236829
Idea generated,2,Cntrl,16.15858819999994,10708.604516419664
Idea generated,2,Cntrl,20.346523599999273,10712.792388906282
One-back initialize,2,Cntrl,,10752.437051379604
One-back reaction time,2,Cntrl,0.5058045666664839,10770.942394220472
One-back reaction time,2,Cntrl,0.5540268666663906,10771.739257117926
One-back reaction time,2,Cntrl,0.5064887666667346,10774.48879080914
One-back reaction time,2,Cntrl,0.5223260666680289,10775.252832406699
Wordset 2,2,Cntrl,,10782.187891084537
Idea generated,2,Cntrl,13.357390299999679,10795.556210241823
Idea generated,2,Cntrl,31.671177700000044,10813.870039783304
Feedback,2,Cntrl,,10842.24348569264
Feedback,2,Cntrl,,10848.635674072215
Feedback,2,Cntrl,,10851.41246606334
Feedback,2,Cntrl,,10855.364795750713
One-back initialize,2,Cntrl,,10858.25720524147
One-back reaction time,2,Cntrl,0.6514132666670776,10866.897285213863
One-back reaction time,2,Cntrl,0.47186266666722076,10869.610672405192
One-back reaction time,2,Cntrl,0.5270887666647468,10874.37439828997
Problem statement,3,Far,,10888.021355846364
Crosshair,3,Far,,10895.022750423992
Wordset 1,3,Far,,10897.740300315309
Idea generated,3,Far,8.053130833332034,10905.803656389542
Idea generated,3,Far,19.650825433331192,10917.401425952485
Idea generated,3,Far,26.00636413333268,10923.756885332175
Idea generated,3,Far,31.139620233332607,10928.890265415774
Idea generated,3,Far,35.49622043333147,10933.246756901852
One-back initialize,3,Far,,10957.753296423545
One-back reaction time,3,Far,0.49626906666708237,10966.232162596452
One-back reaction time,3,Far,0.47356606666471635,10972.95863477496
One-back reaction time,3,Far,0.5059944666645606,10973.706635772569
One-back reaction time,3,Far,0.5928733666678454,10974.541923969899
One-back reaction time,3,Far,0.5746075666666002,10977.357098760904
One-back reaction time,3,Far,0.5057048666676565,10982.135356145636
One-back reaction time,3,Far,0.5411691666686238,10982.918577843133
Wordset 2,3,Far,,10987.518812428434
Idea generated,3,Far,0.2799442999985331,10987.815220027487
Idea generated,3,Far,4.863452999999936,10992.398725612842
Idea generated,3,Far,12.171806399999696,10999.707091089489
Idea generated,3,Far,39.87163779999901,11027.406924400977
Idea generated,3,Far,44.216616099998646,11031.751892187094
Feedback,3,Far,,11047.56984433655
Feedback,3,Far,,11050.238571828022
Feedback,3,Far,,11053.728115816872
Feedback,3,Far,,11056.393392008356
One-back initialize,3,Far,,11060.290470995904
One-back reaction time,3,Far,0.591150166666921,11076.89047194286
One-back reaction time,3,Far,0.5720871666653693,11079.704848133868
One-back reaction time,3,Far,0.5052563666667993,11084.468079418648
One-back reaction time,3,Far,0.5900486666669167,11087.299907209599
Experiment finished,,,665.8656947333329,11090.06634670076
